<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190116,210000,66927.0000000,66937.0000000,66915.0000000,66930.0000000,2019
SPFB.Si-3.19,5,20190116,210500,66929.0000000,66935.0000000,66905.0000000,66909.0000000,1917
SPFB.Si-3.19,5,20190116,211000,66908.0000000,66932.0000000,66905.0000000,66921.0000000,1360
SPFB.Si-3.19,5,20190116,211500,66921.0000000,66927.0000000,66907.0000000,66912.0000000,1610
SPFB.Si-3.19,5,20190116,212000,66911.0000000,66929.0000000,66903.0000000,66917.0000000,1481
SPFB.Si-3.19,5,20190116,212500,66915.0000000,66926.0000000,66901.0000000,66908.0000000,1549
SPFB.Si-3.19,5,20190116,213000,66910.0000000,66920.0000000,66897.0000000,66915.0000000,3842
SPFB.Si-3.19,5,20190116,213500,66915.0000000,66923.0000000,66908.0000000,66913.0000000,846
SPFB.Si-3.19,5,20190116,214000,66915.0000000,66917.0000000,66901.0000000,66904.0000000,1390
SPFB.Si-3.19,5,20190116,214500,66903.0000000,66917.0000000,66900.0000000,66915.0000000,1123
SPFB.Si-3.19,5,20190116,215000,66916.0000000,66916.0000000,66865.0000000,66876.0000000,2831
SPFB.Si-3.19,5,20190116,215500,66873.0000000,66886.0000000,66865.0000000,66882.0000000,1479
SPFB.Si-3.19,5,20190116,220000,66883.0000000,66883.0000000,66857.0000000,66865.0000000,3065
SPFB.Si-3.19,5,20190116,220500,66865.0000000,66885.0000000,66853.0000000,66866.0000000,3793
SPFB.Si-3.19,5,20190116,221000,66861.0000000,66894.0000000,66840.0000000,66860.0000000,6084
SPFB.Si-3.19,5,20190116,221500,66859.0000000,66872.0000000,66852.0000000,66864.0000000,1339
SPFB.Si-3.19,5,20190116,222000,66864.0000000,66873.0000000,66852.0000000,66864.0000000,2580
SPFB.Si-3.19,5,20190116,222500,66863.0000000,66875.0000000,66847.0000000,66874.0000000,3666
SPFB.Si-3.19,5,20190116,223000,66874.0000000,66874.0000000,66846.0000000,66857.0000000,2638
SPFB.Si-3.19,5,20190116,223500,66859.0000000,66883.0000000,66838.0000000,66848.0000000,4341
SPFB.Si-3.19,5,20190116,224000,66850.0000000,66856.0000000,66817.0000000,66841.0000000,4163
SPFB.Si-3.19,5,20190116,224500,66842.0000000,66870.0000000,66839.0000000,66866.0000000,1935
SPFB.Si-3.19,5,20190116,225000,66867.0000000,66882.0000000,66859.0000000,66872.0000000,3500
SPFB.Si-3.19,5,20190116,225500,66872.0000000,66876.0000000,66846.0000000,66864.0000000,3519
SPFB.Si-3.19,5,20190116,230000,66861.0000000,66879.0000000,66857.0000000,66876.0000000,1181
SPFB.Si-3.19,5,20190116,230500,66876.0000000,66881.0000000,66867.0000000,66871.0000000,1873
SPFB.Si-3.19,5,20190116,231000,66871.0000000,66909.0000000,66871.0000000,66907.0000000,3109
SPFB.Si-3.19,5,20190116,231500,66907.0000000,66909.0000000,66875.0000000,66888.0000000,2939
SPFB.Si-3.19,5,20190116,232000,66890.0000000,66893.0000000,66877.0000000,66887.0000000,2199
SPFB.Si-3.19,5,20190116,232500,66891.0000000,66905.0000000,66882.0000000,66905.0000000,3656
SPFB.Si-3.19,5,20190116,233000,66905.0000000,66910.0000000,66884.0000000,66907.0000000,3395
SPFB.Si-3.19,5,20190116,233500,66909.0000000,66929.0000000,66908.0000000,66919.0000000,3387
SPFB.Si-3.19,5,20190116,234000,66921.0000000,66950.0000000,66916.0000000,66938.0000000,4465
