<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190116,155000,77045.0000000,77052.0000000,77018.0000000,77024.0000000,241
SPFB.Eu-3.19,5,20190116,155500,77018.0000000,77025.0000000,77001.0000000,77014.0000000,95
SPFB.Eu-3.19,5,20190116,160000,77011.0000000,77022.0000000,77004.0000000,77010.0000000,147
SPFB.Eu-3.19,5,20190116,160500,77013.0000000,77022.0000000,77005.0000000,77022.0000000,58
SPFB.Eu-3.19,5,20190116,161000,77022.0000000,77026.0000000,77007.0000000,77010.0000000,65
SPFB.Eu-3.19,5,20190116,161500,77010.0000000,77014.0000000,76973.0000000,76981.0000000,1188
SPFB.Eu-3.19,5,20190116,162000,76970.0000000,77023.0000000,76961.0000000,77021.0000000,474
SPFB.Eu-3.19,5,20190116,162500,77015.0000000,77022.0000000,77007.0000000,77007.0000000,75
SPFB.Eu-3.19,5,20190116,163000,77012.0000000,77049.0000000,77006.0000000,77045.0000000,269
SPFB.Eu-3.19,5,20190116,163500,77045.0000000,77049.0000000,77014.0000000,77018.0000000,59
SPFB.Eu-3.19,5,20190116,164000,77021.0000000,77025.0000000,77002.0000000,77005.0000000,92
SPFB.Eu-3.19,5,20190116,164500,77004.0000000,77010.0000000,76989.0000000,76989.0000000,161
SPFB.Eu-3.19,5,20190116,165000,76988.0000000,76994.0000000,76974.0000000,76979.0000000,105
SPFB.Eu-3.19,5,20190116,165500,76978.0000000,76988.0000000,76972.0000000,76984.0000000,46
SPFB.Eu-3.19,5,20190116,170000,76980.0000000,76992.0000000,76905.0000000,76905.0000000,1994
SPFB.Eu-3.19,5,20190116,170500,76908.0000000,76929.0000000,76879.0000000,76897.0000000,466
SPFB.Eu-3.19,5,20190116,171000,76900.0000000,76934.0000000,76870.0000000,76932.0000000,2707
SPFB.Eu-3.19,5,20190116,171500,76928.0000000,76939.0000000,76890.0000000,76907.0000000,752
SPFB.Eu-3.19,5,20190116,172000,76897.0000000,76917.0000000,76863.0000000,76881.0000000,1615
SPFB.Eu-3.19,5,20190116,172500,76876.0000000,76920.0000000,76858.0000000,76909.0000000,788
SPFB.Eu-3.19,5,20190116,173000,76905.0000000,76940.0000000,76888.0000000,76891.0000000,555
SPFB.Eu-3.19,5,20190116,173500,76894.0000000,76908.0000000,76882.0000000,76900.0000000,331
SPFB.Eu-3.19,5,20190116,174000,76892.0000000,76897.0000000,76856.0000000,76859.0000000,368
SPFB.Eu-3.19,5,20190116,174500,76861.0000000,76882.0000000,76840.0000000,76852.0000000,695
SPFB.Eu-3.19,5,20190116,175000,76848.0000000,76848.0000000,76777.0000000,76798.0000000,1781
SPFB.Eu-3.19,5,20190116,175500,76787.0000000,76828.0000000,76770.0000000,76817.0000000,2099
SPFB.Eu-3.19,5,20190116,180000,76819.0000000,76826.0000000,76803.0000000,76817.0000000,407
SPFB.Eu-3.19,5,20190116,180500,76816.0000000,76824.0000000,76796.0000000,76802.0000000,789
SPFB.Eu-3.19,5,20190116,181000,76803.0000000,76828.0000000,76785.0000000,76791.0000000,528
SPFB.Eu-3.19,5,20190116,181500,76799.0000000,76800.0000000,76768.0000000,76781.0000000,773
SPFB.Eu-3.19,5,20190116,182000,76781.0000000,76839.0000000,76774.0000000,76839.0000000,576
