<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171222	183500	59702	59702	59702	59702	2	151
SPFB.Si-3.18	5	20171222	184000	59694	59695	59694	59695	8	152
SPFB.Si-3.18	5	20171222	184500	59720	59720	59719	59719	36	153
SPFB.Si-3.18	5	20171222	191000	59731	59750	59711	59750	15	154
SPFB.Si-3.18	5	20171222	191500	59745	59750	59745	59750	6	155
SPFB.Si-3.18	5	20171222	193500	59712	59712	59699	59699	9	156
SPFB.Si-3.18	5	20171222	194000	59689	59690	59689	59690	4	157
SPFB.Si-3.18	5	20171222	195000	59704	59704	59703	59703	8	158
SPFB.Si-3.18	5	20171222	195500	59714	59714	59714	59714	1	159
SPFB.Si-3.18	5	20171222	200000	59714	59734	59714	59734	10	160
SPFB.Si-3.18	5	20171222	200500	59740	59740	59727	59727	968	161
SPFB.Si-3.18	5	20171222	201000	59747	59747	59747	59747	4	162
SPFB.Si-3.18	5	20171222	202500	59720	59720	59717	59717	315	163
SPFB.Si-3.18	5	20171222	203500	59727	59748	59727	59748	2	164
SPFB.Si-3.18	5	20171222	204500	59749	59752	59740	59752	10	165
SPFB.Si-3.18	5	20171222	210000	59732	59732	59725	59725	426	166
SPFB.Si-3.18	5	20171222	210500	59722	59722	59709	59709	1208	167
SPFB.Si-3.18	5	20171222	213000	59705	59705	59692	59692	8	168
SPFB.Si-3.18	5	20171222	215000	59692	59692	59690	59690	18	169
SPFB.Si-3.18	5	20171222	232000	59719	59719	59719	59719	1	170
SPFB.Si-3.18	5	20171222	233500	59730	59730	59730	59730	2	171
SPFB.Si-3.18	5	20171222	235000	59729	59731	59729	59731	22	172
SPFB.Si-3.18	5	20171225	100500	59686	59686	59669	59669	3	173
SPFB.Si-3.18	5	20171225	101000	59641	59657	59599	59657	12	174
SPFB.Si-3.18	5	20171225	101500	59629	59629	59600	59629	12	175
SPFB.Si-3.18	5	20171225	102000	59620	59620	59620	59620	5	176
SPFB.Si-3.18	5	20171225	103000	59605	59605	59590	59590	11	177
SPFB.Si-3.18	5	20171225	103500	59578	59579	59520	59520	63	178
SPFB.Si-3.18	5	20171225	104000	59517	59517	59514	59514	8	179
SPFB.Si-3.18	5	20171225	104500	59514	59520	59495	59495	53	180
SPFB.Si-3.18	5	20171225	110000	59505	59510	59480	59480	1206	181
SPFB.Si-3.18	5	20171225	110500	59480	59485	59480	59480	885	182
SPFB.Si-3.18	5	20171225	112000	59510	59510	59510	59510	1	183
SPFB.Si-3.18	5	20171225	112500	59490	59490	59480	59480	80	184
SPFB.Si-3.18	5	20171225	113500	59500	59500	59500	59500	3	185
SPFB.Si-3.18	5	20171225	114000	59480	59484	59480	59480	27	186
SPFB.Si-3.18	5	20171225	114500	59470	59480	59470	59477	136	187
SPFB.Si-3.18	5	20171225	120000	59474	59495	59474	59495	19	188
SPFB.Si-3.18	5	20171225	120500	59490	59490	59490	59490	11	189
SPFB.Si-3.18	5	20171225	122500	59490	59511	59490	59510	216	190
SPFB.Si-3.18	5	20171225	123000	59520	59520	59491	59520	74	191
SPFB.Si-3.18	5	20171225	123500	59521	59521	59520	59520	6	192
SPFB.Si-3.18	5	20171225	124000	59508	59525	59506	59524	1003	193
SPFB.Si-3.18	5	20171225	124500	59525	59525	59491	59500	88	194
SPFB.Si-3.18	5	20171225	125500	59485	59485	59425	59436	1975	195
SPFB.Si-3.18	5	20171225	130000	59451	59485	59451	59460	1222	196
SPFB.Si-3.18	5	20171225	130500	59456	59456	59422	59422	9	197
SPFB.Si-3.18	5	20171225	132000	59400	59421	59382	59421	51	198
SPFB.Si-3.18	5	20171225	132500	59403	59412	59382	59390	200	199
SPFB.Si-3.18	5	20171225	133000	59397	59421	59382	59407	128	200
SPFB.Si-3.18	5	20171225	134000	59400	59401	59391	59401	52	201
SPFB.Si-3.18	5	20171225	134500	59405	59410	59405	59410	4	202
SPFB.Si-3.18	5	20171225	135000	59409	59425	59409	59417	9	203
SPFB.Si-3.18	5	20171225	135500	59414	59414	59400	59400	22	204
SPFB.Si-3.18	5	20171225	140000	59400	59409	59400	59400	994	205
SPFB.Si-3.18	5	20171225	141000	59372	59374	59341	59350	1466	206
SPFB.Si-3.18	5	20171225	141500	59347	59350	59339	59339	602	207
SPFB.Si-3.18	5	20171225	142500	59356	59356	59356	59356	1	208
SPFB.Si-3.18	5	20171225	143000	59360	59360	59360	59360	2	209
SPFB.Si-3.18	5	20171225	143500	59349	59349	59342	59342	9	210
SPFB.Si-3.18	5	20171225	144000	59338	59339	59330	59330	520	211
SPFB.Si-3.18	5	20171225	144500	59337	59367	59337	59367	37	212
SPFB.Si-3.18	5	20171225	145500	59320	59320	59320	59320	4	213
SPFB.Si-3.18	5	20171225	150000	59340	59340	59266	59266	1228	214
SPFB.Si-3.18	5	20171225	150500	59294	59298	59294	59294	5	215
SPFB.Si-3.18	5	20171225	151000	59259	59259	59200	59233	69	216
SPFB.Si-3.18	5	20171225	151500	59238	59238	59174	59177	15	217
SPFB.Si-3.18	5	20171225	152000	59202	59202	59194	59194	4	218
SPFB.Si-3.18	5	20171225	152500	59195	59197	59185	59185	194	219
SPFB.Si-3.18	5	20171225	153000	59198	59210	59198	59207	40	220
